epoch,step,test_loss,train_loss,training_total_time,val_loss
0,3,,,,0.14132466912269592
0,3,,0.19961825013160706,,
1,7,,,,0.125235453248024
1,7,,0.14213299751281738,,
2,11,,,,0.11862479150295258
2,11,,0.13612470030784607,,
3,15,,,,0.11037144809961319
3,15,,0.13077764213085175,,
4,19,,,,0.10414714366197586
4,19,,0.12339325994253159,,
5,23,,,,0.10226602852344513
5,23,,0.11766541749238968,,
6,27,,,,0.09814365953207016
6,27,,0.11351809650659561,,
7,31,,,,0.09359639883041382
7,31,,0.10808788985013962,,
8,35,,,,0.09097679704427719
8,35,,0.10260705649852753,,
9,39,,,,0.08707447350025177
9,39,,0.0970880389213562,,
10,43,,,,0.08516886085271835
10,43,,0.09246660768985748,,
11,47,,,,0.08247478306293488
11,47,,0.08837495744228363,,
12,51,,,,0.07895231246948242
12,51,,0.08451910316944122,,
13,55,,,,0.07523094862699509
13,55,,0.0806521400809288,,
14,59,,,,0.07229363173246384
14,59,,0.07735424488782883,,
15,63,,,,0.06809815764427185
15,63,,0.0734369307756424,,
16,67,,,,0.0633513480424881
16,67,,0.06937992572784424,,
17,71,,,,0.05873133987188339
17,71,,0.06440889835357666,,
18,75,,,,0.05411256477236748
18,75,,0.05968688800930977,,
19,79,,,,0.04980143904685974
19,79,,0.05501347780227661,,
20,83,,,,0.04689088463783264
20,83,,0.050356872379779816,,
21,87,,,,0.04290849715471268
21,87,,0.04606107249855995,,
22,91,,,,0.03998757526278496
22,91,,0.042066510766744614,,
23,95,,,,0.039194703102111816
23,95,,0.03815130516886711,,
24,99,,,,0.0358160138130188
24,99,,0.03448010981082916,,
25,103,,,,0.03378250449895859
25,103,,0.031063184142112732,,
26,107,,,,0.027123725041747093
26,107,,0.027978915721178055,,
27,111,,,,0.029952680692076683
27,111,,0.02499779686331749,,
28,115,,,,0.024116329848766327
28,115,,0.022150617092847824,,
29,119,,,,0.023186827078461647
29,119,,0.019987493753433228,,
30,123,,,,0.020470594987273216
30,123,,0.01758711040019989,,
31,127,,,,0.02142181620001793
31,127,,0.015717651695013046,,
32,131,,,,0.018643895164132118
32,131,,0.014106557704508305,,
33,135,,,,0.020279034972190857
33,135,,0.01303320936858654,,
34,139,,,,0.019359661266207695
34,139,,0.011905210092663765,,
35,143,,,,0.0174612607806921
35,143,,0.011087968945503235,,
36,147,,,,0.018725698813796043
36,147,,0.010465665720403194,,
37,151,,,,0.019436469301581383
37,151,,0.010005705058574677,,
38,155,,,,0.019321436062455177
38,155,,0.009466872550547123,,
39,159,,,,0.018813224509358406
39,159,,0.009100907482206821,,
40,163,,,,0.015724632889032364
40,163,,0.008722256869077682,,
41,167,,,,0.017096253111958504
41,167,,0.008573531173169613,,
42,171,,,,0.019975265488028526
42,171,,0.008045325987040997,,
43,175,,,,0.014271813444793224
43,175,,0.007807109504938126,,
44,179,,,,0.016432110220193863
44,179,,0.007490312214940786,,
45,183,,,,0.018342548981308937
45,183,,0.007282959762960672,,
46,187,,,,0.013201802968978882
46,187,,0.007136700674891472,,
47,191,,,,0.01740400493144989
47,191,,0.00700591504573822,,
48,195,,,,0.016271712258458138
48,195,,0.006553596816956997,,
49,199,,,,0.013959319330751896
49,199,,0.006328624207526445,,
,0,,,2048.534300804138,
50,200,0.019420549273490906,,,
